SMILES,Name,ChEMBL_ID,Assay_ChEMBL_ID,Permeability_Value,Original_Units,Permeability
CC1Cc2c(Br)cccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(N)=O,,CHEMBL3125395,CHEMBL3131470,2.09e-05,nm/s,1
C[C@H]1C[C@@H](N)CN(c2ncnc3[nH]c(Cl)c(-c4cccc(CO)c4)c23)C1,,CHEMBL5418420,CHEMBL5383533,2.9,10^-6 cm/s,1
O=C(Cc1ccccc1)N[C@H]1CO[C@H](/C=C/c2ccccc2)OC1,,CHEMBL392590,CHEMBL923278,8.86,10^-6 cm/s,1
CCc1cc(C(=O)NC2(C(=O)N[C@H](C)c3ncc(-c4cc(Cl)cc(Cl)c4OCC(F)F)cc3F)CC2)no1,,CHEMBL256903,CHEMBL947968,25.0,10^-6 cm/s,1
O=C1CCC(N2C(=O)c3ccc(NS(=O)(=O)c4ccccc4C(F)(F)F)cc3C2=O)C(=O)N1,,CHEMBL5069911,CHEMBL5037070,1.4e-06,nm/s,0
CCN(C(=O)CO)[C@H]1CN(/C(=N\C#N)Nc2cccc(OC(F)F)c2)N=C1c1ccc(Cl)c(Cl)c1,,CHEMBL3818617,CHEMBL3821553,3.3999999999999996e-06,nm/s,0
O=C(O)c1cc(NC(=S)NCCO)ccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,,CHEMBL427853,CHEMBL898000,0.26,10^-6 cm/s,1
C=CC(=O)NCCCC[C@H](NC(=O)Cc1ccccc1C)C(=O)N1CCN(C(=O)c2cccc3ccccc23)CC1,,CHEMBL5172565,CHEMBL5158942,0.32,10^-6 cm/s,1
COc1ncc(-c2nc3c(N4CCOCC4)ncnc3s2)cc1NS(=O)(=O)c1ccc(F)cc1F,,CHEMBL4798343,CHEMBL4678731,21.4,10^-6 cm/s,1
CC(C)NCC(O)COc1cccc2ccccc12,PROPRANOLOL,CHEMBL27,CHEMBL5163729,20.95,10^-6 cm/s,1
Cn1cc(-c2cccc(C(=O)Nc3cc(N4CC[C@@H](C(C)(C)O)C4)cnc3C(F)(F)F)n2)cn1,,CHEMBL5182935,CHEMBL5108140,29.0,10^-6 cm/s,1
O=C(NC1(C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCN2CCOCC2)CCCC1)c1cc2ccccc2s1,,CHEMBL242631,CHEMBL895362,9.0,10^-6 cm/s,1
Cn1cccc1C(=O)N1CCN(C(=O)Nc2ccc(N3CCC(C(=O)N4CCOCC4)CC3)cc2)CC1,,CHEMBL3650200,CHEMBL5256460,0.21,10^-6 cm/s,1
N#Cc1ccc2c(c1)C[C@H](CO)N[C@@H]2c1cc(F)cc(Cl)c1,,CHEMBL5192928,CHEMBL5153268,1.37e-05,nm/s,1
O=C(NCc1ccc(F)cc1)c1cccc(Cn2cnc3ccc(-c4cn[nH]c4)cc3c2=O)c1,,CHEMBL4760734,CHEMBL4703617,0.57,10^-6 cm/s,1
N#Cc1ccc(OCCN2CCN(CC(=O)Nc3nccs3)CC2)cc1,,CHEMBL3262836,CHEMBL3271556,1.89e-05,nm/s,1
Cc1cc(COc2ccc(C(=O)N[C@@H]3CN(C(=O)C(C)(C)C)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,,CHEMBL270606,CHEMBL930649,0.3,10^-6 cm/s,1
COCCN(C)Cc1c(-c2ccc(NC(=O)NOC)cc2)sc2c1c(=O)n(-c1ccc(OC)nn1)c(=O)n2Cc1c(F)cccc1F,,CHEMBL1800157,CHEMBL5347184,42.22,10^-6 cm/s,1
COC(CO)Cc1csc(Nc2cc(-c3ccccc3C)c(C)cc2OCCN)n1,,CHEMBL3817896,CHEMBL3820539,2.1e-05,nm/s,1
CCS(=O)(=O)c1ccc(CNC(=O)c2cc3c(s2)C2(CCN([C@H](C)c4ccc(C#N)cc4)CC2)OCC3)nc1,,CHEMBL5092218,CHEMBL5053625,8.5,10^-6 cm/s,1
CCCn1c(=O)[nH]c(=O)c2c1nc(Cc1nc3cc(O)ccc3[nH]1)n2Cc1ccccc1,,CHEMBL5197055,CHEMBL5141815,35.3,10^-6 cm/s,1
O=C(O)C[C@H](O)C(=O)O.O=c1cc(N2CCN(CC3CCCCC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,,CHEMBL5398419,CHEMBL5355540,0.28,10^-6 cm/s,1
Cn1c(-c2ccccc2)cc2c(N[C@H](CO)c3ccccc3)ncnc21,,CHEMBL4753008,CHEMBL4718821,29.8,10^-6 cm/s,1
COc1c(NC(=O)C(=O)c2ccc(OCCN3CCOCC3)c3ccccc23)cc(C(C)(C)C)cc1NS(=O)(=O)CCCN(CCO)CCO,,CHEMBL3785336,CHEMBL3789895,8e-07,nm/s,0
CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(-c2ccccc2)cc1,,CHEMBL5189505,CHEMBL5107918,4.27,10^-6 cm/s,1
O=S(=O)(c1ccc(Nc2ncnc3sccc23)cc1)N1CCC(F)(F)C1,,CHEMBL5422896,CHEMBL5325795,25.9,10^-6 cm/s,1
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CAFFEINE,CHEMBL113,CHEMBL5159059,1.98,10^-6 cm/s,1
COc1ccc(Cn2nc(C(=O)Nc3ccc(F)c(C(=O)N[C@H]4C[C@H](OC)C4)c3)ccc2=O)cc1,,CHEMBL5428008,CHEMBL5352355,4.24e-05,nm/s,1
Cc1nc(C)c(-c2ccc(-c3ccc([C@H](C)C(=O)O)cc3Cl)c(F)c2)nc1C(N)=O,,CHEMBL3133093,CHEMBL3136458,1.4e-05,nm/s,1
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,PACLITAXEL,CHEMBL428647,CHEMBL5160754,1.02,10^-6 cm/s,1
CC1(C)C2=C3CC4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCCCN(CCOc3ccc(NS(C)(=O)=O)cc3)CCc3ccc(NS(C)(=O)=O)cc3)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,,CHEMBL227000,CHEMBL889311,5.4,10^-6 cm/s,1
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,POMALIDOMIDE,CHEMBL43452,CHEMBL4828692,24.9,10^-6 cm/s,1
Cc1ccc(OCCN2CCN(C(=O)c3cccs3)CC2)cc1,,CHEMBL3262798,CHEMBL3271553,3.11e-05,nm/s,1
Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCN(C(=O)C(C)(C)C(=O)NS(C)(=O)=O)CC1,,CHEMBL1784466,CHEMBL1785354,1.5e-07,nm/s,0
Cc1nc(C)c(-c2ccc(-c3ccc(CC(=O)O)cc3Cl)cc2)nc1C(N)=O,,CHEMBL3133098,CHEMBL3136458,8.9e-06,nm/s,1
O=[N+]([O-])c1ccc(C2=NOC(c3ccc(N4CC[S+]([O-])CC4)cc3)C2)o1,,CHEMBL2147096,CHEMBL2148940,2.4149999999999997e-05,nm/s,1
Cc1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](COC(=O)C4=CC[C@H](C(C)(C)O)CC4)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,CYPELLOCARPA C,CHEMBL247486,CHEMBL885399,5.99,10^-6 cm/s,1
O=C1CCC(N2C(=O)c3cccc(N4CCN(C(=O)C5CCN(c6ccc(NC(=O)c7cnc(Oc8ccccc8)nc7)cc6)CC5)CC4)c3C2=O)C(=O)N1,,CHEMBL5076100,CHEMBL5256460,0.07,10^-6 cm/s,1
O=C(Nc1cnn(C2CCNCC2)c1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1,,CHEMBL5180089,CHEMBL5166088,0.3,10^-6 cm/s,1
O=C(NO)c1ccc(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,,CHEMBL5189146,CHEMBL5125537,17.1,10^-6 cm/s,1
CCNC(=O)Nc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,,CHEMBL5423325,CHEMBL5388211,22.55,10^-6 cm/s,1
CN[C@@H]1CCN(c2cc(F)c(C(=O)Nc3cn4cc(C)nc4c(C)n3)cn2)C1,,CHEMBL5412413,CHEMBL5368676,7.5e-05,nm/s,1
CC1(C)CN(C(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c2ccccc21,,CHEMBL3112865,CHEMBL3119741,4e-06,nm/s,0
Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCN(C(=O)c2cccc(S(=O)(=O)N(C)C)c2)CC1,,CHEMBL1784477,CHEMBL1785354,7.77e-06,nm/s,0
Cc1cc(COc2ccc(C(=O)N[C@@H]3C[C@@H](N(C)C)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,,CHEMBL257531,CHEMBL930649,0.1,10^-6 cm/s,1
CNS(=O)(=O)c1cccc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3ccccc3)CC2)c1,,CHEMBL1784476,CHEMBL1785354,4.5999999999999994e-07,nm/s,0
Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c1,,CHEMBL3261067,CHEMBL5054677,20.2,10^-6 cm/s,1
C[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccc(C(F)(F)F)cc2)n1)C(C)(C)C)C(=O)CNS(=O)(=O)c1ccccn1,,CHEMBL540964,CHEMBL891434,2.9999999999999997e-05,nm/s,1
O=C(NCC1CCCCCC1)c1cn(CCO)c2ccccc12,,CHEMBL5087215,CHEMBL5055822,5.9,10^-6 cm/s,1
CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(C(F)(F)C(F)(F)F)cc13,,CHEMBL5079863,CHEMBL5042448,0.831,10^-6 cm/s,1
Cn1cnc(C(=O)N(Cc2cccc(OC(F)(F)F)c2)C[C@H]2[C@@H]3CN(CC4CCCC4)C[C@@H]32)c1,,CHEMBL563220,CHEMBL1023475,7.55,cm/s,1
Cc1cc(-c2cc3c(c(F)n2)Oc2ccc(-c4cccnc4F)cc2[C@@]32COC(N)=N2)on1,,CHEMBL3394228,CHEMBL3396461,1.8499999999999999e-06,nm/s,0
N#Cc1ccc2c(c1)CCC[C@H]2Nc1ccc2[nH]nc(-c3ccncc3)c2c1,,CHEMBL5201629,CHEMBL5157039,11.0,10^-6 cm/s,1
CC(C)C(c1ccc(-c2ccc3cccc(F)c3c2)[nH]c1=O)C1SC(=O)NC1=O,,CHEMBL4753054,CHEMBL4689783,26.3,10^-6 cm/s,1
COCCOC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,,CHEMBL2048054,CHEMBL2049564,1.2e-05,nm/s,1
O=C(NCCCNCc1cc(Cl)cc(Cl)c1)Nc1ccccc1,,CHEMBL2159512,CHEMBL2161892,3.56e-05,nm/s,1
CN[C@@H]1CCN(c2ccc(C(=O)Nc3cc(F)c4nc(C)cn4c3)cn2)C1,,CHEMBL5432271,CHEMBL5368676,7e-06,nm/s,0
O[C@H]1COC[C@H]1N1CC[C@@H](c2cc3nc(Nc4cnn([C@@H]5CC5(F)F)c4Cl)ncc3cc2Cl)[C@H](F)C1,,CHEMBL5076397,CHEMBL5044132,30.0,10^-6 cm/s,1
Cc1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](COC(=O)C4=CC[C@H](C(C)(C)O)CC4)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,CYPELLOCARPA C,CHEMBL247486,CHEMBL885420,1.79,10^-6 cm/s,1
CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F,,CHEMBL4748367,CHEMBL4718841,6.54,10^-6 cm/s,1
c1ccc(-c2ccc3nc(NCC4CC4)nc(NCC4CCNCC4)c3c2)cc1,,CHEMBL5419488,CHEMBL5393142,3.5,10^-6 cm/s,1
COc1cc(C(=O)N2CC(C)C(O)CC2C)cc2nc(NCc3cccc(Cl)c3)oc12,,CHEMBL4748308,CHEMBL4672670,1.2699999999999999e-05,nm/s,1
NC(=O)[C@@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C1CC1,,CHEMBL5196718,CHEMBL5153858,3.2,10^-6 cm/s,1
COC1CC=C(c2cc(C(N)=O)nc3cc(CN4C(=O)CCC4=O)ccc23)CC1,,CHEMBL5417694,CHEMBL5365182,32.0,10^-6 cm/s,1
CCn1c(=O)[nH]c(=O)c2c1nc(Cc1cn3cc(Cl)sc3n1)n2CC1COC1,,CHEMBL5416130,CHEMBL5375010,30.0,10^-6 cm/s,1
CC(C)Oc1cnc(-c2nsc(Nc3ncccc3N3CCCC3=O)n2)cc1C(F)(F)F,,CHEMBL5185186,CHEMBL5142725,12.9,10^-6 cm/s,1
N#Cc1c[nH]c2ccc(C3(Cc4ccccc4)CCNC3)cc12,,CHEMBL517305,CHEMBL944381,25.0,cm/s,1
CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,,CHEMBL5207130,CHEMBL5113077,1.34e-07,nm/s,0
O=C(c1ccc(C(=O)C(F)(F)F)cc1)N1CCOc2ccc(-c3ccc4nc[nH]c4c3)cc2C1,,CHEMBL2333379,CHEMBL2342502,9.8e-07,nm/s,0
CN1Cc2cc3c(cc2C1)C(=O)N(C1CCC(=O)NC1=O)C3=O,,CHEMBL5423392,CHEMBL5325040,7.4,10^-6 cm/s,1
CCCCc1cn(-c2ccc(NC(=O)Nc3cc(OP(=O)(OCC)OCC)ccc3C)cc2)nn1,,CHEMBL4787707,CHEMBL4687222,0.68,10^-6 cm/s,1
Cc1cc(COc2ccc(C(=O)N[C@@H]3C[C@]4(CCCO4)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,,CHEMBL251994,CHEMBL945137,1.5,10^-6 cm/s,1
C[C@@]1(N)Cc2cccc(c2)CC[C@H](c2ccccc2)NC(=O)c2cc(cc(-c3ccccc3C#N)c2)COC1=O,,CHEMBL401180,CHEMBL886443,9.0,10^-6 cm/s,1
CNC(=O)c1cc(C(=O)N[C@H]2CC[C@H](O)CC2)n([C@@H](C)c2ccccc2)n1,,CHEMBL4854042,CHEMBL4836568,4.1e-06,nm/s,0
Cc1csc2c(N[C@@H](C)CN3CCN(S(=O)(=O)c4ccc(Cl)c(Cl)c4)CC3)ncnc12,,CHEMBL256470,CHEMBL5388552,8.9e-07,nm/s,0
NC(=O)[C@@H]1C[C@H](F)CN1Cc1ccc2oc(-c3ccc(F)cc3)cc2c1,,CHEMBL5433816,CHEMBL5350166,8.78,10^-6 cm/s,1
COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,,CHEMBL4759003,CHEMBL4718841,18.3,10^-6 cm/s,1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,GEFITINIB,CHEMBL939,CHEMBL5392456,0.4,10^-6 cm/s,1
CC(C)(C)c1cccc(CN[C@H]2C[S@+]([O-])C[C@@H](Cc3cc(O)c(N)c(F)c3)[C@@H]2O)c1,,CHEMBL2425614,CHEMBL2427047,9e-06,nm/s,1
COc1nn(CC(F)(F)F)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,,CHEMBL4862258,CHEMBL4845479,1.5,10^-6 cm/s,1
COC(=O)CNC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,,CHEMBL232393,CHEMBL896322,0.558,10^-6 cm/s,1
Cc1cc(CN(C)C(CC(=O)O)c2ccc(Cl)cc2)ccc1OCCn1c(=O)ccn(C)c1=O,,CHEMBL3912263,CHEMBL3865120,6e-08,nm/s,0
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCC[14C]4=O)cc2)CC3)cc1,,CHEMBL3526474,CHEMBL3529581,2.4e-05,nm/s,1
CCc1cc(OC)cc2c(/C=N/NC(=N)NCCc3cccnc3)c[nH]c12,,CHEMBL5084331,CHEMBL5033960,0.3,10^-6 cm/s,1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCON1CCN(C)CC1,,CHEMBL5430456,CHEMBL5392460,11.7,10^-6 cm/s,1
CSc1ccc(C(N)=O)cc1-c1ccc2c(cnn2C)c1,,CHEMBL5397445,CHEMBL5375771,3.9399999999999995e-05,nm/s,1
Cc1ccc([C@@H](NC(=O)[C@@H](F)c2ccc3c(c2)CCCC3)[C@@H](C)C(=O)O)cc1,,CHEMBL5284493,CHEMBL5260306,33.0,10^-6 cm/s,1
CCOc1ccccc1-c1ccc(-c2nc3cnccc3c(C[C@H](C)C(=O)O)c2C#N)cc1,,CHEMBL5288398,CHEMBL5243021,4.2999999999999995e-06,nm/s,0
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCC[14C]4=O)cc2)CC3)cc1,,CHEMBL3526474,CHEMBL3527833,1.4799999999999999e-05,nm/s,1
COc1cccc2c1CCC/C2=C\CCN1CCCCC1,,CHEMBL264424,CHEMBL921232,5.8399999999999997e-05,nm/s,1
Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl,,CHEMBL389640,CHEMBL903787,3.0,10^-6 cm/s,1
CC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](CN[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O.CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](CN[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,COLISTIN,CHEMBL2221249,CHEMBL1697384,0.042,cm/s,1
CC[C@](C)(O)C#Cc1cc2c(ccn2-c2ccnc(N)n2)cn1,,CHEMBL5283456,CHEMBL5236890,19.0,10^-6 cm/s,1
Cc1oc2ncnc(NCc3ccco3)c2c1C,,CHEMBL4798649,CHEMBL4724734,16.3,10^-6 cm/s,1
CCNC(=N)NC(=O)Nc1c(CC)cc(C(=O)NC(C)C)cc1CC,,CHEMBL5084930,CHEMBL5041669,1.1e-07,nm/s,0
NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc1cccc(Cl)c1,BAY-1797,CHEMBL4521594,CHEMBL4324777,1.3199999999999999e-05,nm/s,1
CC(C)C[C@@H](c1c(O)c(C=O)c(O)c(C=O)c1O)[C@@]1(C)CC[C@@H]2[C@@H]1[C@H]1[C@@H](CC[C@@]2(C)O)C1(C)C,MACROCARPAL A,CHEMBL396609,CHEMBL885401,1.63,10^-6 cm/s,1
CNC(=O)c1nc(-c2cccc(S(=O)(=O)Nc3ccccc3)c2)cnc1N,,CHEMBL2152129,CHEMBL2157143,9.999999999999999e-06,nm/s,1
NC(=O)[C@@H]1CCCN1c1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2,,CHEMBL5209168,CHEMBL5153858,4.3,10^-6 cm/s,1
Cl.O=C(COc1ccc(-c2nc3cc(C4=NCCN4)ccc3[nH]2)cc1)c1ccccc1,,CHEMBL4782877,CHEMBL4710749,0.11,10^-6 cm/s,1
C[C@H]1CCN1c1nc(N2C[C@@H](CC(=O)O)[C@H](O)C2)cc(C(F)(F)F)c1C#N,,CHEMBL5431020,CHEMBL5370021,0.09,10^-6 cm/s,1
O=C(c1ccccc1)c1cnc(NCc2cccnc2)nc1,,CHEMBL5077449,CHEMBL5047676,28.0,10^-6 cm/s,1
CCP(=O)(OC)c1ccc2oc(-c3cccc(C(F)(F)F)c3)nc2c1,,CHEMBL4634268,CHEMBL4731880,18.0,10^-6 cm/s,1
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCc1ccccc1)c1nnc(C)n1-2,,CHEMBL5401253,CHEMBL5349017,6.2e-07,nm/s,0
CCCC[C@]1(CC)CS(=O)(=O)c2cc(CCCC(=O)O)c(OC)cc2[C@@H](c2ccccc2)N1,,CHEMBL2387520,CHEMBL2388856,3.42e-05,nm/s,1
CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1,DIRLOTAPIDE,CHEMBL410414,CHEMBL897341,0.4,10^-6 cm/s,1
COc1cc2c(cc1OC)CN(CCCC1CCCc3cc(OC)c(OC)cc31)CC2,,CHEMBL259366,CHEMBL921231,0.00043989999999999996,nm/s,1
CCCCCC(CCCCC)OCCOCCOCCOCCOc1ccc2nc(/N=N/c3ccc(N(C)C)cc3)sc2c1,,CHEMBL5083787,CHEMBL5042337,0.241,10^-6 cm/s,1
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NCCCCCCCCNC1=O,,CHEMBL4649451,CHEMBL4618239,6.07e-06,nm/s,0
N=C(N)NCCCCCCCCNCCCCCCCCNC(=N)NCC1CC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,,CHEMBL3353611,CHEMBL3386378,9.5e-07,nm/s,0
O=C(N[C@@H]1COC[C@@H]1C(=O)NO)c1ccc(Cn2c(C(F)(F)F)nc3ccccc32)cc1,,CHEMBL253276,CHEMBL946128,0.1,10^-6 cm/s,1
CC(C)C[C@@H]1NCCCCCCNC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC1=O,,CHEMBL4637822,CHEMBL4618239,1.7100000000000001e-06,nm/s,0
Cc1cc(COc2ccc(C(=O)N[C@@H]3CNCC[C@@H]3C(=O)NO)cc2)c2ccccc2n1,,CHEMBL402992,CHEMBL927613,0.2,10^-6 cm/s,1
COc1cc(-c2nc3cc(C4=NCCN4)ccc3[nH]2)ccc1OCc1ccccn1.Cl,,CHEMBL4749718,CHEMBL4710750,0.12,10^-6 cm/s,1
CO[C@H]1C[C@](CC#N)(n2cc(-c3nc(-c4cnn(C)c4)cn4nccc34)cn2)C1,,CHEMBL4758753,CHEMBL4675811,22.0,10^-6 cm/s,1
CN(C)CCCN(c1ccncc1)c1ccc(-c2ccc3c(C(N)=O)nn(-c4ccc5onc(N)c5c4)c3c2F)c(F)c1,,CHEMBL223042,CHEMBL926655,5.5,10^-6 cm/s,1
COc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1OC,,CHEMBL228575,CHEMBL903787,0.44,10^-6 cm/s,1
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,ATENOLOL,CHEMBL24,CHEMBL5329658,0.87,10^-6 cm/s,1
CCc1cc(OC)cc2c(/C=N/NC(=N)NCCc3ccc(C#N)cc3)c[nH]c12,,CHEMBL5081158,CHEMBL5033960,0.7,10^-6 cm/s,1
N#Cc1ccc(OCCN2CCN(CC(=O)Nc3nccs3)CC2)cc1,,CHEMBL3262836,CHEMBL3271553,1.67e-05,nm/s,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(Cc3cccnc3)ns2)n1,,CHEMBL4226232,CHEMBL4222443,0.0,nm/s,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,ERYTHROMYCIN,CHEMBL532,CHEMBL5335401,13.39,10^-6 cm/s,1
Cc1ccccc1Oc1cc(-n2c(=O)cc(C(F)(F)F)[nH]c2=O)c2ccccc2c1Cl,BAY-069,CHEMBL4551635,CHEMBL5217596,1.22e-05,nm/s,1
Cn1c(=O)c2c(c3cc(Nc4nc(N5CC6CCC(C5)O6)ncc4Cl)ccc31)N[C@@H](C1CC1)C(F)(F)CO2,,CHEMBL5423054,CHEMBL5340432,4.6,10^-6 cm/s,1
N=C(N)c1ccc(CC(NC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)cc1,,CHEMBL23430,CHEMBL4196338,4e-07,nm/s,0
CNC(=O)c1cc(C(=O)N[C@H]2CC[C@H](O)CC2)c([C@@H](C)c2ccccc2)o1,,CHEMBL4865767,CHEMBL4836568,4.9e-06,nm/s,0
Cc1ncccc1-c1cc2ncnc(Nc3ccc(C4CC4)cc3)c2s1,,CHEMBL5412191,CHEMBL5357393,9.95,10^-6 cm/s,1
CCCC[C@@H](/C=N/NS(=O)(=O)N(C)C)NC(=O)OC(C)(C)C,,CHEMBL203501,CHEMBL868303,7.7e-05,nm/s,1
CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cccc(C(=O)Cn2cnc3cc(C)c(C)cc32)c1,,CHEMBL4753249,CHEMBL4678996,0.4,10^-6 cm/s,1
C=CC(=O)Nc1cccc(C)c1Nc1ncc(OCc2c(F)c(OC)cc(OC)c2F)cn1,,CHEMBL4089245,CHEMBL4018315,8.599999999999999e-06,nm/s,1
O=c1nc(OC[C@@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2,GLPG-1205,CHEMBL3716365,CHEMBL4675913,41.9,10^-6 cm/s,1
O=C(NC1CCN(C(=O)C2CC2)CC1)NC12CC3CC(F)(CC(C1)c1ccccc13)C2,,CHEMBL5177372,CHEMBL5112587,2.6899999999999997e-06,nm/s,0
COc1cc2c(cc1OC)CN(C(=O)c1ccc(-c3ccc(O)cc3)cc1)CC2,,CHEMBL260508,CHEMBL923495,2.8e-05,nm/s,1
Cn1nc2c(=O)n(CC3(O)CCN(Cc4ccc(-c5ccco5)cc4Cl)CC3)cnc2c1-c1ccc(CNC=O)cc1,,CHEMBL5171419,CHEMBL5153792,0.65,10^-6 cm/s,1
O=C(CN1CCN(CCOc2ccc(OC(F)(F)F)cc2)CC1)Nc1nccs1,,CHEMBL3262833,CHEMBL3271553,1.69e-05,nm/s,1
O=C(NC1(C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCN2CCC(O)CC2)CCCC1)c1cc2ccccc2s1,,CHEMBL428217,CHEMBL895362,1.4,10^-6 cm/s,1
O=C(O)Cn1nc(Cc2cn3cc(OCC4CC4)c(Cl)cc3n2)c2ccccc2c1=O,,CHEMBL5070413,CHEMBL5046727,1.0,10^-6 cm/s,1
O=C(O[C@H]1C[C@H](n2cc(F)c(=O)[nH]c2=O)O[C@@H]1CO)c1cncc(C(=O)O[C@H]2C[C@H](n3cc(F)c(=O)[nH]c3=O)O[C@@H]2CO)c1,,CHEMBL3793774,CHEMBL3795442,1.7329999999999998e-06,nm/s,0
